node_id,pois_id
58100918,4409072507
4646589301,12026759910
419450523,12166264407 10982803731
9426847296,4409072519 4409072492
3488071582,10874203994
7539529767,8148029002
2081887385,9816312596
317166660,2327355743
534458121,5170685621
1315816061,7037232435
11441596697,1786960251
12178944016,11040453166
8502363476,3487923931
3564777564,3564777565
1665492029,1515736040 4409072178
262685403,10284191893
8502091047,4323333391
417773269,9330775786
4073916396,8148041349
11084858788,6543462105
9600975358,8056285301
5406254645,5397367071
1584355048,2399887893 2399887905 2399887889
3011566499,6519201525 6721966295
10069670749,10069670748
7935164114,9395656804
6672818196,4684077148
1584355298,5614500944
1316731679,9409347594
7055218625,7637076328
2529909142,2529909138
7936007433,5734957380 5734955330
11028221938,11021707208
6606854180,6606854180
2742445757,4505462789
2789776428,3832568198
5543272809,8740239266
5543296402,5543296402
5543272797,8740239270
5543272839,5543296403
5543296404,5543296404
9251609221,3235438944
653104495,5101537621
7823146806,4363295460
9600969386,8056285293 8056285306
6737649429,11030858796
4343833741,5196222744
4339198615,5652235608 9408933179
7297861561,5184319021 338846665
2582006531,4409072522
11040431255,11040453165
9339284001,5652208308
8034492080,6399593453
7047491583,9198822608
12178957326,11040453163
4902516642,2081856236
419448798,7645393121
5727662169,12203521194
254490504,12133344121
9984215897,10187593304
6559045428,6595802968
25837923,4409073402
10115277248,1630957023
536191985,6216807226
9433622217,8505009943
647479997,12049033369 12049033370
1505995881,2399887900
5243333542,9923582017
7715096342,6214780543
2432685114,2399887888
1718879826,8459671417
7123517368,7131761364
4714778888,4401375026
3103251672,9194498972
9770018894,9775257030
1025823177,11672859875
3783791663,2909168504
7283972643,5249850221
7189149373,6587516070
5010191639,1002954925
806782899,8726226623
8354150535,1719916611
245090903,247688308
11957120960,11957120960
7055218620,6758101074
679617396,4409073403
12171380281,3151894065
1598383967,7097308375
11903127428,7508473885
265694615,6199165847
7487957375,7487957383
10786573257,8147995890
11332164900,3621152693
9735230205,4409072146
12025368475,4409054102
1762387957,11040453164
9309849023,9309853951
11016905799,11021707212
519041555,3165808487
4077638258,11200636443
2970512223,2970512223
648453660,5883520261
3921207632,3926506738
8356488182,5235312253
876676686,648527819
492367551,10753355273
1179639576,1179639259
10125215220,2480837950
898281177,6629902959
12180336974,11181490085
11235179258,10004653148
491911576,6680805656
4472709676,6810371837
4243547715,6382164323
11029446879,5962996685
8320032780,3310851585
5365200142,5365200150
7224671175,9960322389
1948388512,1948388517
6431923993,9200333811
9902098791,4573973194
7400372319,6985952568
12019764920,12020602926
9672183976,9672183977
3683174154,4072620796
11040431248,11040453162
7667231256,5518987482
1231550575,9533979752
6737762247,5719165031
4339095261,4339095289
2653119020,4409073399
338998777,5271327317 5271327306 5271327305 5271327314 5271327312 5271327315 5271327309 339246204
1105431592,10950809498
11901058918,8064197855
12066995218,12066995218
12117435536,5930514909 5930514910
11389325690,11389487097
2078306283,11389487131
7564447298,7564447298
7914140219,11493731839
6533238126,9424174963
10610633344,3783559226
336182207,8329224529
799995023,5195943221
3722995919,3722995922
492301445,3702177239
4349282303,708269841
10596957851,10596957851
1754715281,5579595122
9512771943,9527746619
504434708,4858150133
9354311629,4346681589 5271327318 5271327316
280366469,6725488661
470141161,5271327301
9799360718,9799358416
4683924551,4409086220
1309734854,8555605630
