node_id,pois_id
9995382103,1092542124
9470353031,3563670773
370281925,11999741899
5358078489,6160275086
1733641127,1733641127
3271309382,4162332590
588152932,588152937
3690493522,2447785850
4348069457,4348069553
3588641175,3588641175
4232911119,3091301059
338753756,338753756
9119041243,9119041243
5235838867,5235838878
11017064352,11017064344
11017064336,11017064338
6260877366,6260877366
1221122427,4409072507
7508473812,4409072519 7508473885 6269840698 4409072165 4409072183 6269840713 7508473807 6269840695 6269840718 4409072509 4409072492
7539529744,8148029002
317166660,2327355743
1315816067,7037232435
262685441,10284191893
470217733,9330775786
2980462415,1786960251 3152783583 3557252080 3557252423
12178957335,11040453166 11040453165 11040453163 11040453164 11040453162
8282412096,3487923931 9981998908
8502091019,4323333391
4073916387,8148041349
3857792614,6543462105
3477858465,8056285301 8056285293 8056285294 8056285302 8056285298
5406254637,5397367071
9354018385,11362348178
3011566518,6519201525
8140600442,4684077148
3456691896,8901822441
1316731689,9409347594
505330359,7637076328 7633689626 6764556258 7633692585
7957998773,5734957380 5734955330 5734956464 5734957379 5744940655 5734956461 5734956462
6705249444,11021707208
8067311145,4505462789 1260311764
4589395523,11030858796
4653275022,5652235608 9408933179
11192095541,5184319021
1500843220,4409072522
26794455,4409073287 4409073282
10681843267,5652208308 5652211919
3712540046,6399593453 6399595918
6653576364,12203521194
9986991242,12133344121
12136998000,10187593304
7895432559,6595802968
1037073511,4409073402 4409073403 4409073399
8695610422,6216807226
9433617982,8505009943 8505009938 8505009944 8505009939 9381204484
647479999,12049033369 12049021268 12049033370
625943717,6214780543
8112867990,9194498972
8119885499,11672859875
1712253708,5249850221
472919566,6821748225
1399014784,1002954925 4215844490
631937626,247688308 3819842667
11824277492,6199165847
7487957380,7487957383
12017334920,8147995890
11332164892,3621152693
11840313428,4409072146 2627276414 2627276413 4409072536
12025368577,4409054102
9309849029,9309853951 9309853947 9309853945
6765377107,11021707212
5000707344,3165808487
3680176514,648527819
8623422963,6629902959
12180336918,11181490085
1231549659,9533979752
9049580524,11200636443 11021359945
2003940117,6501376142 6501376092 6501376126 6501376144
11174875605,6810371837 9409264478
3248637363,3310851585
3683174159,4072620796
7667231268,5518987482
4339095259,4339095289
334406642,5271327317 5271327312 5271327309 339246204
1705936564,10950809498
11901058917,8064197855
9775257023,9775257030
806887748,8726226623
8354165355,1719916611 1931491246
12026912295,3151894065 3152782065
5677517208,7097308375
11184772012,5235312253 10711157397
10753355264,10753355273
648745802,6382164323
382775511,5930514909 5930514908 5930514910
6533238154,9424174963 6533241024
11520610099,8329224529
11519967208,8329224531
6104028160,8329224530
773067514,8329224532
338998797,4346681589 5271327318
8383660143,6725488661
338999433,5271327301 4346680990 5271327300
30037740,4409086220 4409086218 4409086214 11090555305
9703632081,6841983781
1309735161,8555605630 8555605626 8555605628 8555605624 8555605629 8555605622 8555605627 7519548166 5237345535 8555605625
1914627863,6732171506 4409072148 4409072489
10310178247,946238788 8594006472
12207917672,6366344280 6366336988
1472667631,4697728408
